city,state,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,source,region
Chicago,Illinois,2023-09-05,92.1,75.8,82.7,93.6,75.8,84.6,67.3,60.9,0,0,0,0,0,31.6,18,188.9,1010.9,60.8,9.9,98.3,8.3,8,30,2023-09-05T11:20:07Z,2023-09-06T00:17:39Z,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-06,80.7,68.5,74.7,81.5,68.5,74.7,66.8,77.4,0.134,100,29.17,0,0,35.7,17.8,228.3,1007.8,88.1,9.5,32.5,2.7,3,30,2023-09-06T11:21:09Z,2023-09-07T00:15:57Z,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs,Midwest
Chicago,Illinois,2023-09-07,71.1,65.8,68.1,71.1,65.8,68.1,60.7,77.8,0.032,100,12.5,0,0,28.9,11.7,349,1012.1,99.4,9.7,32.7,2.7,1,10,2023-09-07T11:22:10Z,2023-09-08T00:14:14Z,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,obs,Midwest
Chicago,Illinois,2023-09-08,67.4,61.3,64.2,67.4,61.3,64.2,57.5,78.8,0.027,100,16.67,0,0,24.2,14.7,8,1018,89,9.4,18,1.8,1,10,2023-09-08T11:23:12Z,2023-09-09T00:12:32Z,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,obs,Midwest
Chicago,Illinois,2023-09-09,74.5,56,64.9,74.5,56,64.9,52.8,67.1,0,0,0,0,0,19.7,12.3,15,1021.2,30.7,9.9,59.5,5,4,10,2023-09-09T11:24:14Z,2023-09-10T00:10:48Z,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-10,79.7,54.9,66.6,79.7,54.9,66.6,54.9,67.9,0,16,0,0,0,11.4,11.4,98.3,1020.2,36.2,10,116.4,10.2,5,10,2023-09-10T11:25:16Z,2023-09-11T00:09:05Z,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,comb,Midwest
Chicago,Illinois,2023-09-11,70.1,65.9,67.6,70.1,65.9,67.6,61.9,81.8,0.877,74,66.67,0,0,13.9,13.9,308.8,1019.2,86,8.8,52,4.4,3,10,2023-09-11T11:26:18Z,2023-09-12T00:07:21Z,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,fcst,Midwest
Chicago,Illinois,2023-09-12,65.9,60.5,63.5,65.9,60.5,63.5,57.3,80.5,0.335,57,25,0,0,21.9,16.1,358,1020.3,54.1,10.1,179.1,15.4,6,10,2023-09-12T11:27:19Z,2023-09-13T00:05:37Z,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,fcst,Midwest
Durham,North Carolina,2023-09-05,95.8,69.9,82.2,101.2,69.9,84.9,69.4,68.4,0,0,0,0,0,5.8,8.9,46.5,1015.1,27.6,9.5,223.4,19.3,9,60,2023-09-05T10:50:26Z,2023-09-05T23:38:03Z,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,East
Durham,North Carolina,2023-09-06,98.6,71.4,84.4,102.1,71.4,87.1,69.1,64.6,0,0,0,0,0,6.9,6.6,203.2,1012.8,29.2,9.3,199.6,17.3,8,60,2023-09-06T10:51:12Z,2023-09-06T23:36:37Z,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,East
