city,state,region,time,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,source
Chicago,Illinois,Midwest,2023-09-11T05:00:00Z,69.8,69.8,62.65,56.5,0,0,0,0,10.3,5.5,151,1018.2,9.9,64.2,0,0,0,10,Partially cloudy,partly-cloudy-night,obs
Chicago,Illinois,Midwest,2023-09-11T06:00:00Z,69.4,69.4,63.92,56.7,0,0,0,0,10.3,6.4,148,1017.8,9.9,93,0,0,0,10,Overcast,cloudy,obs
Chicago,Illinois,Midwest,2023-09-11T07:00:00Z,70.6,70.6,56.41,54.3,0,0,0,0,9.2,6,168,1017.2,9.9,93,0,0,0,3,Overcast,cloudy,obs
Chicago,Illinois,Midwest,2023-09-11T08:00:00Z,70,70,52.97,52,0,0,0,0,9.2,6.2,287,1016.8,9.9,100,0,0,0,3,Overcast,cloudy,obs
Chicago,Illinois,Midwest,2023-09-11T09:00:00Z,68.4,68.4,55.38,51.8,0.008,100,0,0,9.2,6,254,1016.9,9.9,100,0,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T10:00:00Z,65,65,72.64,56,0.028,100,0,0,9.2,5.2,221,1017.1,8.7,100,0,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T11:00:00Z,61.8,61.8,88.85,58.4,0.271,100,0,0,11.4,3.8,215,1017.9,6.7,100,0,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T12:00:00Z,62.3,62.3,91.09,59.6,0.029,100,0,0,10.3,5.1,197,1017.8,8.5,100,0,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T13:00:00Z,63,63,93.33,61.1,0.035,100,0,0,9.2,5.7,185,1017.7,6.2,98.9,19,0.1,0,3,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T14:00:00Z,64.2,64.2,93.56,62.3,0.009,100,0,0,8.1,8.2,210,1017.9,4.9,100,21,0.1,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T15:00:00Z,65,65,93.91,63.2,0.021,100,0,0,8.1,6.5,261,1018.4,5.5,100,19,0.1,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T16:00:00Z,65.6,65.6,94.43,64,0.043,100,0,0,8.1,4.9,257,1018.3,3.6,100,85,0.3,1,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T17:00:00Z,65.7,65.7,93.8,63.9,0.046,100,0,0,9.2,2.1,350,1017.9,5.5,100,22,0.1,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T18:00:00Z,65.5,65.5,93.4,63.5,0.058,100,0,0,9.2,6.5,287,1018.1,3.5,100,34,0.1,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T19:00:00Z,66.4,66.4,90.04,63.4,0.053,100,0,0,11.4,6.9,151,1017.7,6.5,100,45,0.2,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T20:00:00Z,64.5,64.5,91.93,62.1,0.044,100,0,0,13.9,5.7,32,1017.3,3.8,100,37,0.1,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T21:00:00Z,64.3,64.3,94.18,62.6,0.113,100,0,0,15,6.3,37,1017.1,3.9,100,19,0.1,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T22:00:00Z,64.2,64.2,92.37,61.9,0.096,100,0,0,18.3,6,7,1017.3,3.4,100,21,0.1,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-11T23:00:00Z,63.5,63.5,93.5,61.6,0.073,100,0,0,16.1,5.1,12,1017.6,5.1,100,6,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-12T00:00:00Z,63,63,92.47,60.7,0.013,100,0,0,16.1,8.8,355,1017.6,6.5,100,4,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-12T01:00:00Z,63,63,92.85,60.9,0.009,100,0,0,15,7.3,348,1017.3,9.9,100,0,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-12T02:00:00Z,62.8,62.8,93.55,61,0.028,100,0,0,15,8,333,1017.6,8,100,0,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-12T03:00:00Z,62.1,62.1,94.3,60.4,0.098,100,0,0,15,6.2,326,1017.4,4.5,100,0,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-12T04:00:00Z,61.6,61.6,94.91,60.2,0.013,100,0,0,15,7.2,349,1017.5,6.8,100,0,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-12T05:00:00Z,61.3,61.3,94.11,59.6,0.008,100,0,0,16.1,6.6,338,1017.4,8,98.6,0,0,0,10,"Rain, Overcast",rain,obs
Chicago,Illinois,Midwest,2023-09-12T06:00:00Z,60.8,60.8,94.46,59.2,0,0,0,0,17.2,8.1,333,1017.3,9.9,88.1,0,0,0,10,Partially cloudy,partly-cloudy-night,obs
