city,state,time,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,source,region
Chicago,Illinois,2023-09-05T05:00:00Z,82.1,86.2,67.79,70.4,0,0,0,0,12.8,10.1,188,1011.2,9.9,6.4,0,0,0,8,Clear,clear-night,obs,Midwest
Chicago,Illinois,2023-09-05T06:00:00Z,81.2,85,69.79,70.4,0,0,0,0,16.1,8.8,188,1011,9.9,6.4,0,0,0,8,Clear,clear-night,obs,Midwest
Chicago,Illinois,2023-09-05T07:00:00Z,80.4,83.8,71.75,70.4,0,0,0,0,16.1,9.2,183,1011,9.9,24,0,0,0,10,Partially cloudy,partly-cloudy-night,obs,Midwest
Chicago,Illinois,2023-09-05T08:00:00Z,80.1,83.3,72.21,70.3,0,0,0,0,16.1,7.2,185,1011.1,9.9,24,0,0,0,3,Partially cloudy,partly-cloudy-night,obs,Midwest
Chicago,Illinois,2023-09-05T09:00:00Z,79.2,79.2,73.69,70.1,0,0,0,0,15,8.9,199,1011.5,9.9,43.6,0,0,0,10,Partially cloudy,partly-cloudy-night,obs,Midwest
Chicago,Illinois,2023-09-05T10:00:00Z,78.2,78.2,73.91,69.2,0,0,0,0,15,9.1,208,1011.5,9.9,52.8,0,0,0,10,Partially cloudy,partly-cloudy-night,obs,Midwest
Chicago,Illinois,2023-09-05T11:00:00Z,77,77,73.8,68,0,0,0,0,15,7.5,195,1011.6,9.9,77.6,0,0,0,5,Partially cloudy,partly-cloudy-night,obs,Midwest
Chicago,Illinois,2023-09-05T12:00:00Z,75.8,75.8,75.5,67.5,0,0,0,0,15,6.7,188,1011.9,9.9,77.6,37,0.1,0,5,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T13:00:00Z,77.7,77.7,70.18,67.3,0,0,0,0,15,8.6,180,1012.1,9.9,77.6,136,0.5,1,5,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T14:00:00Z,80.6,82.9,61.99,66.4,0,0,0,0,15,10.6,189,1012.2,9.9,52.8,429,1.5,4,3,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T15:00:00Z,83.2,85.4,56.02,65.9,0,0,0,0,21.9,14.6,199,1012.4,9.9,52.8,120,0.4,1,3,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T16:00:00Z,83.8,86,54.75,65.8,0,0,0,0,25.8,14.5,195,1012.5,9.9,77.6,121,0.4,1,3,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T17:00:00Z,88.1,90.7,48.83,66.4,0,0,0,0,30.7,15.7,182,1011.6,9.9,52.8,773,2.8,8,3,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T18:00:00Z,90,92.8,46,66.4,0,0,0,0,28,16.7,199,1011.4,9.9,77.6,320,1.2,3,3,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T19:00:00Z,92.1,93.6,38.97,63.6,0,0,0,0,30.3,18,199,1011,9.9,63.7,149,0.5,1,10,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T20:00:00Z,88.8,90.9,46.02,65.3,0,0,0,0,31.6,17.2,185,1010.7,9.9,60.2,90,0.3,1,10,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T21:00:00Z,86,87.8,49.64,65,0,0,0,0,28.7,15.6,178,1010,9.9,81.2,63,0.2,1,10,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T22:00:00Z,86,87.3,47.81,63.9,0,0,0,0,27.5,17.1,174,1009.3,9.9,77,67,0.2,1,30,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-05T23:00:00Z,84.8,86.5,51.27,64.9,0,0,0,0,23.6,14.3,179,1009.5,9.9,73.2,45,0.2,0,8,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-06T00:00:00Z,83.9,86.3,55.45,66.3,0,0,0,0,23.3,14,189,1009.8,9.9,77.6,10,0,0,30,Partially cloudy,partly-cloudy-day,obs,Midwest
Chicago,Illinois,2023-09-06T01:00:00Z,82.9,85.4,58.2,66.7,0,0,0,0,23,11.2,188,1009.5,9.9,86.1,0,0,0,3,Partially cloudy,partly-cloudy-night,obs,Midwest
Chicago,Illinois,2023-09-06T02:00:00Z,82.7,85.3,59.37,67.1,0,0,0,0,20.8,13,188,1009.6,9.9,80.2,0,0,0,5,Partially cloudy,partly-cloudy-night,obs,Midwest
Chicago,Illinois,2023-09-06T03:00:00Z,80.8,83.6,65.04,68,0,0,0,0,26.9,14.7,183,1009.2,9.9,79.1,0,0,0,5,Partially cloudy,partly-cloudy-night,obs,Midwest
Chicago,Illinois,2023-09-06T04:00:00Z,78.5,78.5,72.75,69,0,0,0,0,26.8,12.3,200,1009.5,9.9,77.6,0,0,0,5,Partially cloudy,partly-cloudy-night,obs,Midwest
Chicago,Illinois,2023-09-06T05:00:00Z,77,77,81.59,70.9,0.005,100,0,0,28.5,14.8,205,1009.3,9.9,87.2,0,0,0,5,"Rain, Partially cloudy",rain,obs,Midwest
Chicago,Illinois,2023-09-06T06:00:00Z,77,77,82.53,71.3,0,0,0,0,23.8,13.2,200,1008.6,9.9,98.6,0,0,0,5,Overcast,cloudy,obs,Midwest
Chicago,Illinois,2023-09-06T07:00:00Z,76.3,76.3,84.6,71.3,0,0,0,0,20.4,11.1,209,1008,9.9,90.4,0,0,0,3,Overcast,cloudy,obs,Midwest
Chicago,Illinois,2023-09-06T08:00:00Z,77.3,77.3,81.78,71.3,0,0,0,0,21.9,10.1,209,1007.4,9.9,100,0,0,0,8,Overcast,cloudy,obs,Midwest
